hhid,round,comment,s7q1a,s7q1a2,s7q1b,s7q1b2,s7q1c,s7q1c2,s7q2,s7q4a,s7q4a2,s7q4b,s7q4b2,s7q5a,s7q5a2,s7q5b,s7q5b2,s7q5c,s7q5c2,s7q5d,s7q5d2,s7q5e,s7q5e2,s7q5f,s7q5f2,s7q6,s7q6a,s7q6b,s7q6c,s7q6d,s7q6e,s7q7,s7q8a,s7q8b,s7q8c,s7q8d,s7q8e,s7q8f,s7q8g,s7q8h,s7q8i,s7q8j,s7q8_other,s7q9_1,s7q9_2,s7q9_3
12007,2,,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Food aid,,,,,,,0,1,2,0,,,,,,,,,,,,,,,,
12007,3,0,,,,,,,Above normal,Source of food from milk,,Source of income from selling milk,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,
12007,4,0,,,,,,,Much above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12007,5,0,,,,,,,Normal,Source of food from milk,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,0,4,5,,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Credit,Sell livestock,Other (specify),Rely on assistance from others
12007,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,Yes,Yes,No,No,No,No,,Sell livestock,Increase non-livestock activities,
12008,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.44999999,,,,,,,,,,,,,,,,,,,,
12008,2,,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12008,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of income from livestock trading,,Food aid,,Livestock keeping,,Food aid,,Food aid,,,,,,,2,5,3,6,,,,,,,,,,,,,,,,
12008,4,0,,,,,,,Much above normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12008,5,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,3,2,2,,Yes,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
12009,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.40000001,,,,,,,,,,,,,,,,,,,,
12009,2,,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,4,6,,,,,,,,,,,,,,,,
12009,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of income from livestock trading,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,2,4,3,5,,,,,,,,,,,,,,,,
12009,4,0,,,,,,,Normal,Source of food from milk,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,0,2,2,,,,,,,,,,,,,,,,
12009,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,3,3,5,5,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,Rely more on food aid
12009,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
12010,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.40000001,,,,,,,,,,,,,,,,,,,,
12010,2,,,,,,,,Much above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12010,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Food aid,,Livestock keeping,,Livestock keeping,,,,,,,1,2,2,3,,,,,,,,,,,,,,,,
12010,4,0,,,,,,,Normal,Source of household saving and status,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,
12010,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,3,2,5,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,
12010,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,Yes,No,Yes,No,No,No,No,No,,Rely on assistance from others,Sell livestock,
12011,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from selling milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
12011,2,,,,,,,,Much above normal,Source of food from milk,,Source of income from livestock trading,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,5,3,,,,,,,,,,,,,,,,
12011,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,
12011,4,0,,,,,,,Above normal,Source of household saving and status,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,
12011,5,0,,,,,,,Much below normal,Source of income from selling livestock,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,5,6,10,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,
12011,6,0,,,,,,,Much below normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,
12012,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of food from milk,,Source of income from selling milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.55000001,,,,,,,,,,,,,,,,,,,,
12014,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of income from selling milk,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
12015,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),Predation,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Petty trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.40000001,,,,,,,,,,,,,,,,,,,,
12015,2,,,,,,,,Much above normal,Source of food from milk,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Casual labor,,Livestock keeping,,,,,,,0,3,1,1,,,,,,,,,,,,,,,,
12015,3,0,,,,,,,Above normal,Source of food from milk,,Source of income from selling milk,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12015,4,0,,,,,,,Much above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Petty trading,,Petty trading,,Food aid,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12015,5,0,,,,,,,Normal,Source of food from milk,,Source of income from selling milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,Yes,No,No,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely on assistance from others,
12015,6,0,,,,,,,Somewhat below normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,No,No,No,,,,
12016,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),Predation,Above normal,Source of food from milk,,Source of food from meat and blood,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Livestock keeping,,.40000001,,,,,,,,,,,,,,,,,,,,
12016,2,,,,,,,,Normal,Source of food from milk,,Source of income from selling meat,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
12016,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Food aid,,Food aid,,Livestock keeping,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,
12016,4,0,,,,,,,Much above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Food aid,,Food aid,,Food aid,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12016,5,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,,,,,,7,9,15,18,,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely on assistance from others,Sell livestock
12016,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Rely more on food aid,Reduce the number of meals eaten each day,Sell livestock
12017,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),Predation,Above normal,Source of food from milk,,Source of food from meat and blood,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
12017,2,,,,,,,,Above normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,1,3,2,,,,,,,,,,,,,,,,
12017,3,0,,,,,,,Above normal,Source of food from milk,,Source of income from selling milk,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,0,2,3,3,,,,,,,,,,,,,,,,
12017,4,0,,,,,,,Above normal,Source of income from selling milk,,Source of income from selling livestock,,Livestock keeping,,Food aid,,Petty trading,,Petty trading,,,,,,,0,0,1,2,,,,,,,,,,,,,,,,
12017,5,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Petty trading,,Livestock keeping,,Petty trading,,Petty trading,,,,,,,2,6,4,3,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,
12017,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,No,No,No,,,,
12018,1,,Disease outbreak,,Lack of rain and forage availability,,Raiding,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.34999999,,,,,,,,,,,,,,,,,,,,
12018,2,,,,,,,,Much below normal,Source of income from selling milk,,Source of income from livestock trading,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,6,5,8,10,,,,,,,,,,,,,,,,
12018,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of food from meat and blood,,Casual labor,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,3,5,6,7,,,,,,,,,,,,,,,,
12018,4,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,
12018,5,0,,,,,,,Somewhat below normal,Source of income from selling livestock,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Livestock keeping,,Livestock keeping,,,,,,,2,3,2,2,,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely on assistance from others,
12018,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,No,No,No,,,,
12019,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from selling milk,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.55000001,,,,,,,,,,,,,,,,,,,,
12019,2,,,,,,,,Somewhat below normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Food aid,,,,,,,2,2,4,5,,,,,,,,,,,,,,,,
12019,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of income from livestock trading,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,5,17,12,13,,,,,,,,,,,,,,,,
12019,4,0,,,,,,,Above normal,Source of income from selling livestock,,Source of income from selling milk,,Livestock keeping,,Livestock keeping,,Petty trading,,Petty trading,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
12019,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,
12019,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,
12020,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),Predation,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.44999999,,,,,,,,,,,,,,,,,,,,
12020,2,,,,,,,,Much above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,
12020,3,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,2,4,3,5,,,,,,,,,,,,,,,,
12020,4,0,,,,,,,Above normal,Source of income from selling milk,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12020,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,Rely on assistance from others,Reduce the number of meals eaten each day,Sell livestock
12020,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,Rely more on food aid
12021,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.30000001,,,,,,,,,,,,,,,,,,,,
12021,2,,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,6,4,,,,,,,,,,,,,,,,
12021,3,0,,,,,,,Normal,Source of food from milk,,Source of income from livestock trading,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,1,5,4,3,,,,,,,,,,,,,,,,
12021,4,0,,,,,,,Normal,Source of income from selling milk,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,
12021,5,0,,,,,,,Above normal,Source of income from selling livestock,,Source of food from milk,,Transfer from family (outside of hh),,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,3,2,3,,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely on assistance from others,
12021,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,Yes,No,No,No,No,No,,Sell livestock,,
12022,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from selling milk,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.55000001,,,,,,,,,,,,,,,,,,,,
12022,2,,,,,,,,Much above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,
12022,3,0,,,,,,,Above normal,Source of food from meat and blood,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,
12022,4,0,,,,,,,Normal,Source of food from milk,,Source of income from selling livestock,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,
12022,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely on assistance from others,Sell livestock
12022,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,No,No,No,,,,
12023,1,,Lack of rain and forage availability,,Disease outbreak,,Disease outbreak,,Above normal,Source of food from milk,,Source of income from selling milk,,Business owner,,Business owner,,Business owner,,Business owner,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
12023,2,,,,,,,,Much above normal,Source of food from milk,,Source of food from meat and blood,,Business owner,,Business owner,,Livestock keeping,,Food aid,,,,,,,5,6,10,5,,,,,,,,,,,,,,,,
12023,3,0,,,,,,,Above normal,Source of income from livestock trading,,Source of food from meat and blood,,Livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12023,4,0,,,,,,,Normal,Source of income from selling livestock,,Source of income from selling milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12023,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of food from milk,,Business owner,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,3,2,3,2,,Yes,Yes,No,No,No,No,No,No,No,No,No,,Reduce the number of meals eaten each day,,
12023,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Viable,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Rely more on food aid,Sell livestock,Reduce the number of meals eaten each day
12024,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of income from selling milk,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.55000001,,,,,,,,,,,,,,,,,,,,
12024,2,,,,,,,,Much above normal,Source of food from milk,,Do not own livestock,,Food aid,,Livestock keeping,,Livestock keeping,,Food aid,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12024,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,0,2,1,1,,,,,,,,,,,,,,,,
12024,4,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,
12024,5,0,,,,,,,Above normal,Source of income from selling livestock,,Source of food from milk,,Business owner,,Livestock keeping,,Business owner,,Livestock keeping,,,,,,,1,2,2,1,,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,Rely on assistance from others,Reduce the number of meals eaten each day,
12024,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,No,No,Yes,No,No,No,No,No,No,No,,Rely on assistance from others,,
12025,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),Predation,Above normal,Source of income from selling milk,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.55000001,,,,,,,,,,,,,,,,,,,,
12025,2,,,,,,,,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,3,1,2,,,,,,,,,,,,,,,,
12025,3,0,,,,,,,Normal,Source of food from meat and blood,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Food aid,,Food aid,,,,,,,5,12,7,7,,,,,,,,,,,,,,,,
12025,4,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of income from selling livestock,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,2,4,4,,,,,,,,,,,,,,,,
12025,5,0,,,,,,,Above normal,Source of income from selling livestock,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,3,2,1,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,
12025,6,0,,,,,,,Much below normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Rely on assistance from others
12026,1,,Lack of rain and forage availability,,Disease outbreak,,Other (specify),Predation,Above normal,Source of income from selling milk,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.40000001,,,,,,,,,,,,,,,,,,,,
12026,2,,,,,,,,Much above normal,Source of food from milk,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,
12026,3,0,,,,,,,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,
12026,4,0,,,,,,,Normal,Source of food from milk,,Source of income from selling livestock,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,
12026,5,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Petty trading,,Livestock keeping,,Petty trading,,Livestock keeping,,,,,,,10,12,18,20,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Sell livestock,
12026,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Viable,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely more on food aid,Sell livestock
12027,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.44999999,,,,,,,,,,,,,,,,,,,,
12027,2,,,,,,,,Above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,0,1,,,,,,,,,,,,,,,,
12027,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,
12027,4,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,
12027,5,0,,,,,,,Somewhat below normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,6,9,13,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,
12027,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Viable,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,Rely more on food aid
12028,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of income from selling milk,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.60000002,,,,,,,,,,,,,,,,,,,,
12028,2,,,,,,,,Much above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12028,3,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,0,7,10,7,,,,,,,,,,,,,,,,
12028,4,0,,,,,,,Normal,Source of food from milk,,Source of income from selling livestock,,Livestock keeping,,Transfer from family (outside of hh),,Food aid,,Transfer from family (outside of hh),,,,,,,0,0,0,2,,,,,,,,,,,,,,,,
12028,5,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,
12028,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,No,No,No,,,,
12029,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of income from livestock trading,,Source of food from meat and blood,,Livestock trading,,Livestock keeping,,Livestock keeping,,Livestock trading,,Livestock keeping,,Livestock keeping,,.30000001,,,,,,,,,,,,,,,,,,,,
12029,2,,,,,,,,Much above normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,
12029,3,0,,,,,,,Above normal,Source of food from milk,,Source of income from selling meat,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,2,4,5,3,,,,,,,,,,,,,,,,
12029,4,0,,,,,,,Above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
12029,5,0,,,,,,,Normal,Source of food from milk,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,3,2,5,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely more on food aid,Sell livestock
12029,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,Yes,No,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,
12030,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of income from selling milk,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.55000001,,,,,,,,,,,,,,,,,,,,
12030,2,,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,7,3,3,,,,,,,,,,,,,,,,
